公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
1102 亞泥,2023/6/30,TSE,1102,1,水泥製造,2.37,2.0,35465628810,3.89,13.5,0.98,-7.92,-25.19,-25.19,-24.88,-3.8,-3.77,-3.77,-26.07,2.67,3.4,,-0.01,1.93,42.12,157467.0,大,1.04,0.03
1103 嘉泥,2023/6/30,TSE,1103,1,水泥製造,4.46,2.0,7902474590,0.11,47.27,0.74,34.0,1166.07,1166.07,53.6,103.76,105.23,105.23,70.59,2.69,5.11,-9.15,1.44,0.03,20.77,16658.0,中,2.46,0.13
1104 環泥,2023/6/30,TSE,1104,1,水泥製造,6.32,2.0,6732174670,3.2,10.4,0.92,14.44,20.4,20.4,22.96,-25.57,-32.14,-32.14,-1.1,8.2,10.07,-12.64,-1.15,1.03,28.37,20066.0,中,3.88,0.16
1109 信大,2023/6/30,TSE,1109,1,水泥製造,2.48,2.0,3411588680,4.34,5.88,0.81,0.86,11.18,11.18,18.13,33.78,264.95,264.95,189.5,-1.17,2.7,-3.19,2.61,1.02,17.68,6311.0,中,1.39,0.09
1217 愛之味,2023/6/30,TSE,1217,2,罐頭加工,2.27,2.0,4945133360,1.27,31.32,0.92,4.46,-3.85,-3.85,-24.09,100.84,157.54,157.54,128.16,2.18,6.11,-6.89,0.5,0.17,12.8,6330.0,中,1.59,0.14
1234 黑松,2023/6/30,TSE,1234,2,飲料乳品,1.69,2.0,4018710940,2.17,13.51,0.92,19.64,23.6,23.6,112.12,37.02,30.45,30.45,30.42,-0.44,1.37,-2.98,0.41,0.98,39.43,16577.0,中,5.11,0.15
1312 國喬,2023/6/30,TSE,1312,3,石化,-2.18,2.0,9266203280,-2.33,,0.57,-19.25,-85.54,-85.54,-549.2,-201.05,-293.82,-293.82,-294.14,3.71,-8.57,63.48,-2.07,-0.9,18.92,17634.0,中,-0.54,-0.03
1313 聯成,2023/6/30,TSE,1313,3,石化,4.05,2.0,13570821070,-2.26,,0.72,-15.95,7.62,7.62,33.85,-231.88,-2265.57,-2265.57,-1970.5,-1.07,1.32,,-1.11,-0.46,14.85,20150.0,中,0.45,0.03
1314 中石化,2023/6/30,TSE,1314,3,石化,-1.04,2.0,37848501300,-2.33,,0.48,-21.99,-391.6,-391.6,-82.77,-131.28,-130.51,-130.51,-134.32,4.49,-0.63,4.69,-0.61,-0.48,9.8,37092.0,中,-0.05,-0.01
1315 達新,2023/6/30,TSE,1315,3,石化,5.66,2.0,990990000,2.48,8.26,0.64,-10.46,-6.49,-6.49,-27.09,29.09,39.17,39.17,36.29,-0.57,0.25,28.33,0.7,2.79,68.37,7016.0,中,2.87,0.04
1324 地球,2023/6/30,TSE,1324,3,石化,0.8,2.0,751218820,1.64,28.27,0.94,-10.74,27.22,27.22,499.74,4108.02,527.54,527.54,481.66,-1.67,1.34,-7.24,1.53,0.21,11.6,886.0,小,0.44,0.04
1325 恒大,2023/6/30,TSE,1325,3,不織布,0.25,2.0,852811980,0.55,65.62,0.75,-29.17,-79.14,-79.14,-215.47,119.37,204.95,204.95,819.78,-6.09,-1.05,-5.74,0.34,0.21,23.72,2068.0,中,0.59,0.03
1337 再生-KY,2023/6/30,TSE,1337,3,塑膠製品,-6.48,2.0,2689547290,-3.86,,0.54,15.28,19.41,19.41,15.25,15.73,15.73,15.73,15.73,-11.34,-11.79,-30.07,0.56,-0.68,9.19,2472.0,中,2.21,0.32
1338 廣華-KY,2023/6/30,TSE,1338,12,汽車組件,-1.52,2.0,838400000,-2.28,,0.61,-26.06,-24.52,-24.52,-109.74,-192.48,-235.31,-235.31,-226.57,-6.3,-4.28,0.25,-2.04,-1.7,42.33,3722.0,中,-1.01,-0.02
1339 昭輝,2023/6/30,TSE,1339,12,汽車組件,3.0,2.0,741238750,4.87,8.02,0.93,-4.67,12.06,12.06,137.66,-28.53,-25.87,-25.87,-13.88,3.55,2.23,3.83,-1.17,2.51,46.15,3421.0,中,0.25,0.01
1340 勝悅-KY,2023/6/30,TSE,1340,3,塑膠製品,-7.24,2.0,1529228550,-4.08,,0.5,15.99,30.9,30.9,7.41,8.21,9.04,9.04,4.55,-11.24,-11.52,73.02,0.73,-1.19,14.0,2141.0,中,3.4,0.32
1402 遠東新,2023/6/30,TSE,1402,4,人纖,1.69,2.0,53528752270,2.66,11.83,0.84,-5.9,-18.71,-18.71,-29.54,-13.71,-15.98,-15.98,-30.51,-5.33,2.6,1.64,-0.07,0.7,32.05,179054.0,大,2.06,0.07
1409 新纖,2023/6/30,TSE,1409,4,人纖,0.93,2.0,16184092860,1.06,10.99,0.79,-23.13,-43.08,-43.06,-64.35,-72.23,-77.72,-77.72,-78.17,1.15,2.26,2.16,-0.85,0.15,16.16,27837.0,中,-0.75,-0.04
1416 廣豐,2023/6/30,TSE,1416,20,軟體服務,3.12,2.0,1853421680,0.12,22.61,0.58,7.61,76.19,76.19,67.37,-9.75,-84.28,-84.28,-98.52,0.34,1.18,-30.43,-0.54,0.0,11.5,2131.0,中,1.05,0.1
1434 福懋,2023/6/30,TSE,1434,4,成衣,2.93,2.0,16846646370,0.99,30.14,0.85,-18.21,-32.22,-32.22,-69.36,-77.15,-78.87,-78.87,-79.29,-9.76,-9.98,-1.57,-2.59,0.33,26.48,47171.0,中,-0.1,-0.0
1437 勤益控,2023/6/30,TSE,1437,20,物業管理,2.43,2.0,2033712840,3.52,11.41,0.79,-3.17,-3.54,-3.54,-10.36,37.48,44.02,44.02,-1.41,1.6,6.03,105.14,0.73,1.25,28.4,5776.0,中,0.74,0.03
1439 雋揚,2023/6/30,TSE,1439,14,建設,3.47,2.0,920000000,3.89,8.64,0.86,-63.06,-36.11,-36.11,-81.37,37.85,42.61,42.61,40.94,15.58,-1.63,-21.19,0.72,1.1,22.15,2065.0,中,-0.15,-0.01
1447 力鵬,2023/6/30,TSE,1447,4,人纖,0.46,2.0,9144872420,-1.93,,0.78,13.78,-98.58,-98.64,-308.82,-164.25,-165.21,-165.21,-183.57,-1.54,-2.83,-12.82,-2.41,-0.25,8.03,7343.0,中,0.06,0.01
1451 年興,2023/6/30,TSE,1451,4,成衣,-0.32,2.0,2064500000,-3.23,,0.63,-26.74,-117.26,-117.26,-233.73,-167.47,-167.23,-167.23,-165.0,-14.1,-4.38,-9.57,-6.57,-1.16,19.95,4532.0,中,-1.0,-0.05
1452 宏益,2023/6/30,TSE,1452,4,人纖,1.28,2.0,1326414000,-0.26,131.73,0.89,-47.43,-90.44,-90.44,-123.93,-105.77,-107.31,-107.31,-109.33,-8.72,-0.97,-16.25,-3.52,-0.05,16.9,2348.0,中,-0.19,-0.01
1455 集盛,2023/6/30,TSE,1455,4,人纖,-1.85,2.0,5316883800,-2.92,,0.89,-34.18,-123.98,-123.98,-249.53,-279.02,-505.55,-505.55,-136.47,-6.23,-8.0,2.53,-2.67,-0.36,10.5,5636.0,中,-0.15,-0.01
1456 怡華,2023/6/30,TSE,1456,14,建設,0.55,2.0,937200000,4.1,31.52,0.98,201.49,280.32,280.32,583.19,198.37,186.62,186.62,188.03,54.27,4.12,-18.87,1.85,0.68,16.6,1556.0,中,1.5,0.1
1460 宏遠,2023/6/30,TSE,1460,4,成衣,-1.19,2.0,6946434840,-1.69,19.99,0.93,-28.5,-33.23,-33.23,-137.68,65.71,64.53,64.53,68.57,-4.48,4.49,0.25,1.86,-0.17,9.2,6391.0,中,1.56,0.2
1465 偉全,2023/6/30,TSE,1465,4,成衣,1.94,2.0,1036072670,2.34,15.33,0.91,20.48,27.32,27.32,81.37,-10.56,-20.34,-20.34,-42.76,7.36,-0.04,6.61,-0.38,0.37,13.51,1487.0,中,0.0,0.0
1466 聚隆,2023/6/30,TSE,1466,4,人纖,-3.43,2.0,1111573200,-7.93,,0.9,-27.54,-105.2,-105.2,-668.59,-320.69,-360.81,-360.81,-381.91,-5.76,-12.96,0.31,-4.65,-1.1,11.9,1323.0,中,0.25,0.02
1474 弘裕,2023/6/30,TSE,1474,4,成衣,-1.82,2.0,1298969690,-2.1,,0.83,-29.96,-59.66,-59.66,-189.03,-156.7,-173.36,-173.36,-149.79,-6.47,-6.14,-0.55,-2.66,-0.33,12.8,1663.0,中,0.45,0.04
1531 高林股,2023/6/30,TSE,1531,5,機械業,-1.62,2.0,1836080800,-0.98,148.88,0.76,-49.15,-56.58,-56.58,-177.24,-117.89,-130.25,-125.25,-126.61,-17.25,-4.75,-12.93,-3.82,-0.23,13.82,2690.0,中,0.09,0.01
1569 濱川,2023/6/30,OTC,1569,25,電子零組件,-2.32,2.0,1214474410,-2.86,27.64,0.93,-36.62,-76.72,-76.72,-158.4,-132.66,-134.25,-134.25,-128.05,-11.48,-8.11,-11.64,-5.46,-0.9,22.03,2915.0,中,-1.29,-0.06
1589 永冠-KY,2023/6/30,TSE,1589,5,機械業,-0.11,2.0,1181359410,1.7,26.46,0.95,10.05,74.65,74.65,252.88,166.14,151.79,151.79,142.81,13.6,4.52,22.98,2.14,1.28,71.8,8458.0,中,-6.5,-0.08
1595 川寶,2023/6/30,OTC,1595,28,電子設備,1.09,2.0,474476340,1.68,9.03,0.73,-20.94,-14.41,-14.41,-23.39,-56.23,-67.95,-67.95,-68.04,-10.01,2.47,53.54,-1.87,0.97,38.37,1916.0,中,1.04,0.03
1618 合機,2023/6/30,TSE,1618,6,電線,6.54,2.0,1926917470,2.93,11.16,0.85,43.92,57.51,57.51,86.7,12.07,9.51,9.51,54.3,14.28,6.87,-8.19,0.24,0.67,19.54,3863.0,中,3.02,0.18
1626 艾美特-KY,2023/6/30,TSE,1626,6,家電製品,0.28,2.0,1455444960,4.32,,0.84,-6.65,23.54,23.6,1181.48,-75.99,-78.65,-78.65,348.54,-6.18,-7.78,-10.79,-5.95,0.9,18.35,2671.0,中,-0.4,-0.02
1714 和桐,2023/6/30,TSE,1714,21,清潔劑,0.7,2.0,10168248080,2.59,10.18,0.74,-7.55,-15.82,-15.84,-32.29,-4.66,12.48,12.48,13.76,-8.74,-5.4,-3.77,0.33,0.31,8.76,9009.0,中,-0.11,-0.01
1718 中纖,2023/6/30,TSE,1718,21,石化,0.32,2.0,16859057450,2.21,3.43,0.64,16.12,3.56,3.56,-3.17,-3.98,-0.2,-0.2,4.53,4.8,7.06,13.92,0.01,-0.51,8.22,13861.0,中,-0.1,-0.01
1725 元禎,2023/6/30,TSE,1725,21,其他化學,4.21,2.0,1818299780,1.4,14.13,0.95,-29.4,-18.56,-18.56,-31.88,-8.52,-3.51,-3.51,-19.17,-2.07,6.48,-2.79,0.08,0.33,21.35,4064.0,中,1.2,0.06
1806 冠軍,2023/6/30,TSE,1806,8,玻璃陶瓷,-0.89,2.0,3904038700,-1.05,,0.76,-8.03,-19.65,-19.65,-55.53,-186.84,28.67,28.67,10.0,-13.61,-10.83,-14.48,0.33,-0.15,10.5,4099.0,中,1.33,0.15
1809 中釉,2023/6/30,TSE,1809,8,玻璃陶瓷,-1.14,2.0,1670419370,-0.82,,0.84,-12.04,-33.14,-33.14,-1205.44,-166.27,-160.79,-160.79,-239.99,1.52,-2.73,19.19,-1.42,-0.06,14.32,2430.0,中,0.74,0.05
1815 富喬,2023/6/30,OTC,1815,28,主機板,-2.72,2.0,4501947870,-2.56,,0.86,-28.81,-86.96,-86.96,-204.93,-369.07,-415.87,-415.87,-233.29,-6.87,-3.75,,-1.69,-0.41,13.19,5981.0,中,1.37,0.12
1906 寶隆,2023/6/30,TSE,1906,9,造紙,3.81,2.0,1510000000,0.7,45.45,0.49,-34.44,-48.82,-48.82,-1253.8,-87.83,-91.33,-91.33,-90.54,2.48,2.36,,-4.91,0.23,15.96,2484.0,中,-0.29,-0.02
2007 燁興,2023/6/30,TSE,2007,10,金屬基本,-3.78,2.0,5306516130,-6.84,,0.86,-33.89,-200.32,-200.32,-466.27,-161.79,-159.74,-159.74,-162.95,-6.8,-13.08,3.28,-2.29,-0.85,10.3,5466.0,中,-1.0,-0.09
2025 千興,2023/6/30,TSE,2025,10,金屬基本,21.19,2.0,2811672620,21.4,5.97,0.88,-82.59,-247.75,-247.75,-789.27,23.14,17.95,17.95,-120.06,-4.62,83.95,-21.6,1.01,1.25,5.7,1603.0,中,0.08,0.01
2029 盛餘,2023/6/30,TSE,2029,10,金屬基本,2.05,2.0,3211800000,2.33,45.34,0.85,-26.64,-48.68,-48.68,-61.16,-60.56,-60.95,-60.95,-60.63,-9.15,-0.74,-4.18,-3.49,0.71,24.41,8174.0,中,-0.58,-0.02
2038 海光,2023/6/30,TSE,2038,10,金屬基本,0.56,2.0,1903277480,1.68,338.95,0.99,-14.94,-24.22,-24.22,-60.67,-46.49,-45.69,-45.69,280.56,3.07,5.01,17.49,-0.21,0.42,19.33,3680.0,中,-1.33,-0.06
2062 橋椿,2023/6/30,TSE,2062,38,五金及家具,-0.13,2.0,1999941520,0.83,8.72,0.65,-27.89,-56.44,-56.44,-82.53,-76.48,-87.47,-87.47,-83.01,-14.05,0.58,-7.57,-3.46,0.3,22.15,4630.0,中,0.0,0.0
2069 運錩,2023/6/30,TSE,2069,10,金屬基本,-2.3,2.0,1663868360,-3.33,,0.88,-22.69,-82.71,-82.71,-108.75,-130.1,-142.82,-142.82,-141.8,-10.63,-11.74,-5.38,-4.73,-0.8,18.89,3311.0,中,-0.24,-0.01
2104 國際中橡,2023/6/30,TSE,2104,11,橡膠原料,1.57,2.0,9847336250,-1.04,23.78,0.61,-21.19,-51.22,-51.22,-109.52,-117.08,-229.01,-229.01,-226.91,-4.18,2.84,2.57,-0.87,-0.35,21.5,21172.0,中,1.84,0.09
2107 厚生,2023/6/30,TSE,2107,11,橡膠,4.46,2.0,3373260000,2.55,9.94,0.62,-31.68,-37.98,-37.98,-48.79,-22.01,-19.8,-19.8,-20.32,8.13,2.08,-3.45,-0.49,0.9,20.91,7455.0,中,-0.05,-0.0
2239 英利-KY,2023/6/30,TSE,2239,12,汽車組件,-1.65,2.0,1203182930,-0.43,51.18,0.92,30.45,78.76,78.76,166.89,113.68,71.66,71.66,64.76,11.58,-1.71,11.43,0.77,-0.59,80.14,9694.0,中,7.75,0.11
2316 楠梓電,2023/6/30,TSE,2316,28,主機板,-1.0,2.0,1827405360,-0.41,16.74,0.65,-38.69,-176.2,-176.2,-540.33,-104.01,-111.27,-111.27,-113.74,-1.78,0.41,5.79,-2.45,-0.18,27.69,5153.0,中,-0.49,-0.02
2323 中環,2023/6/30,TSE,2323,26,光電/ IO,8.89,2.0,10893483280,11.61,43.42,0.82,-10.57,4.49,4.49,-5.67,405.75,398.52,398.52,606.33,5.47,6.86,-22.62,11.75,1.9,14.1,15360.0,中,6.19,0.78
2354 鴻準,2023/6/30,TSE,2354,31,電子零組件,-0.61,2.0,14144851920,2.23,13.4,0.79,-6.01,-15.85,-15.85,-46.98,-14.49,20.91,20.91,-0.4,-4.43,-0.28,-24.95,0.25,1.51,54.01,78645.0,中,-0.29,-0.01
2355 敬鵬,2023/6/30,TSE,2355,28,主機板,-0.02,2.0,3974954200,1.3,13.92,0.8,-8.26,48.99,48.99,296.47,108.14,66.99,66.99,56.69,-4.92,0.77,-14.33,0.31,0.52,30.64,12481.0,中,-1.07,-0.03
2358 廷鑫,2023/6/30,TSE,2358,20,金屬基本,-5.35,2.0,1366227720,-10.93,,0.83,-41.38,-120.19,-120.19,-350.5,-432.6,-473.24,-473.24,-472.86,-8.97,-0.55,-11.37,-6.53,-1.51,10.55,1441.0,中,-4.25,-0.29
2362 藍天,2023/6/30,TSE,2362,25,PC系統,-0.61,2.0,6322630000,1.47,20.66,0.52,1.63,-11.0,-11.0,-24.74,13.32,-3.2,-3.2,-74.78,-0.01,-3.33,54.96,0.06,1.03,33.25,21023.0,中,4.12,0.14
2363 矽統,2023/6/30,TSE,2363,24,半導體,18.62,2.0,7495893560,4.6,22.01,0.77,-31.17,-25.74,-25.74,-2.22,14.15,14.18,14.18,14.18,19.46,19.11,-1.42,0.59,1.03,17.27,13680.0,中,-0.52,-0.03
2365 昆盈,2023/6/30,TSE,2365,25,光電/ IO,1.86,2.0,2215284960,1.53,50.84,0.93,-35.91,-22.58,-22.58,-108.76,36.25,85.26,85.26,67.1,1.95,1.13,-10.97,0.67,0.21,12.19,2747.0,中,1.67,0.16
2374 佳能,2023/6/30,TSE,2374,26,消費性電子,0.0,2.0,2875463120,-0.37,36.81,0.96,-19.24,-16.68,-16.68,-190.95,-53.98,-177.64,-177.64,-155.69,-2.94,-0.38,-4.3,-0.62,-0.02,20.11,5909.0,中,0.35,0.02
2375 凱美,2023/6/30,TSE,2375,28,電子零組件,0.79,2.0,1086753340,2.18,12.82,0.83,-22.87,-34.19,-34.19,-57.65,-53.75,-55.17,-55.17,-24.8,-9.92,-0.87,-5.27,-1.12,1.77,65.79,7325.0,中,-6.44,-0.09
2390 云辰,2023/6/30,TSE,2390,31,光電/ IO,-2.37,2.0,1926194420,-2.7,,0.98,14.69,41.43,41.43,103.1,78.63,79.54,79.54,78.61,-26.78,-23.72,-7.14,8.29,-0.37,13.15,2533.0,中,0.7,0.06
2392 正崴,2023/6/30,TSE,2392,28,電子零組件,-0.81,2.0,5123269400,0.55,7.82,0.95,-9.65,-7.13,-7.13,-59.4,-60.7,-74.08,-74.08,-71.96,-5.83,-3.54,-9.69,-0.43,0.27,39.96,21569.0,中,0.71,0.02
2409 友達,2023/6/30,TSE,2409,26,光電/ IO,-4.24,2.0,76993960920,-8.79,,0.88,-20.71,-121.35,-121.35,-2482.65,-756.1,-2927.41,-2927.41,-10432.73,-2.72,-26.43,3.68,-3.88,-2.05,17.87,143209.0,大,0.19,0.01
2431 聯昌,2023/6/30,TSE,2431,28,電子零組件,-2.24,2.0,1109270140,-2.5,20.33,0.95,-43.76,-116.55,-116.55,-45.14,-753.6,-486.54,-486.54,-700.52,-14.28,-2.1,-7.56,-1.37,-0.32,11.9,1331.0,中,1.24,0.12
2474 可成,2023/6/30,TSE,2474,31,電子零組件,2.86,2.0,6803640680,3.3,6.81,0.75,-16.53,-15.27,-15.27,-20.52,8.21,-3.53,-3.53,-18.41,0.15,2.93,-18.94,-0.12,7.89,175.5,119404.0,大,-4.5,-0.02
2477 美隆電,2023/6/30,TSE,2477,31,消費性電子,0.04,2.0,1585732440,-0.91,70.45,0.84,-49.9,-71.78,-71.78,-348.97,-109.49,-50.01,-50.01,-582.55,-13.93,-6.46,-13.74,-0.03,-0.24,20.8,3298.0,中,0.44,0.02
2489 瑞軒,2023/6/30,TSE,2489,26,光電/ IO,2.26,2.0,7800000000,2.26,37.78,0.86,-19.59,-32.84,-32.84,-238.64,109.04,109.2,109.2,-85.48,-1.93,6.11,-10.74,18.6,0.39,14.7,11731.0,中,4.55,0.45
2501 國建,2023/6/30,TSE,2501,14,建設,0.69,2.0,11595610590,2.17,7.92,0.77,100.38,150.27,150.27,520.11,334.6,296.06,296.06,321.11,-6.8,0.01,-68.68,1.11,0.48,15.8,18901.0,中,-0.77,-0.05
2505 國揚,2023/6/30,TSE,2505,14,建設,2.18,2.0,3800000000,1.44,31.4,0.7,-90.77,-82.86,-82.86,-109.22,-68.43,-67.94,-67.94,-68.15,11.5,4.32,-14.4,-1.8,0.37,18.3,6954.0,中,0.0,0.0
