公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
6612 奈米醫材,6612,6612,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,129.5,1.0,0.77,2.0,1.72,24.58,18.02,18.02,-14.31,-12.86,-15.49,-15.49,-32.35,13.3,13.24,4.94,-0.22,2023-03-31,2023,,
6625 必應,6625,6625,2023-03-31,20,電視廣播,M99H,TEJO99  其它業別,49.1,1.0,0.35,2.92,1.58,35.53,282.84,282.84,138.19,150.45,147.91,147.91,146.72,2.29,5.18,-6.17,3.74,2023-03-31,2023,,
6643 M31,6643,6643,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,600.94,1.0,2.24,3.96,2.98,26.34,26.34,26.34,87.09,84.4,76.15,76.15,-36.38,15.87,3.33,-2.38,1.3,2023-03-31,2023,,
6649 台生材,6649,6649,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,42.35,1.0,0.05,0.34,0.3,40.22,27.01,27.01,135.32,148.16,148.16,148.16,148.16,3.47,6.66,,1.08,2023-03-31,2023,,
6657 華安,6657,6657,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,,1.0,-0.84,-9.79,-9.38,93.74,95.26,95.26,-82.5,-83.97,-83.97,-83.97,-83.97,-32.72,-33.48,-20.86,-4.1,2023-03-31,2023,,
6664 群翊,6664,6664,2023-03-31,28,電子設備,M23H,TEJT18  電子- 電子設備,108.23,1.0,2.51,6.13,2.24,12.4,26.83,26.83,23.65,2.16,-2.04,-2.04,-2.82,42.04,15.03,12.95,-0.02,2023-03-31,2023,,
6669 緯穎,6669,6669,2023-03-31,25,PC系統,M23A,TEJT01  電子- PC,1076.92,1.0,18.86,7.98,3.42,46.39,57.94,57.94,54.12,40.11,40.59,40.59,34.27,11.36,40.35,125.22,1.23,2023-03-31,2023,,
6680 鑫創電子,6680,6680,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,69.93,1.0,0.37,1.72,1.07,30.02,39.0,39.0,221.68,-17.2,-19.28,-19.28,-27.48,2.65,9.05,-4.22,-0.23,2023-03-31,2023,,
6683 雍智科技,6683,6683,2023-03-31,24,主機板,M23B,TEJT02  電子- 主機板,200.08,1.0,3.54,4.54,3.83,1.29,0.21,0.21,-3.52,-16.97,-15.13,-15.13,-15.13,6.34,9.52,-7.82,-0.68,2023-03-31,2023,,
6689 伊雲谷,6689,6689,2023-03-31,36,軟體服務,M23X,,126.77,1.0,0.32,0.46,0.22,6.78,2.23,2.23,-67.08,-29.94,-43.96,-43.96,-44.59,35.31,56.05,,-0.25,2023-03-31,2023,,
6690 安碁資訊,6690,6690,2023-03-31,36,軟體服務,M23X,TEJT22  電子- 軟體,172.04,1.0,1.75,3.23,1.84,11.87,19.26,19.26,48.0,53.31,35.68,35.68,35.68,12.03,90.89,7.07,-0.19,2023-03-31,2023,,
6691 洋基工程,6691,6691,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,200.74,1.0,5.81,8.4,3.33,30.5,22.3,22.3,20.91,19.9,22.62,22.62,22.1,24.08,-12.83,,0.63,2023-03-31,2023,,
6703 軒郁,6703,6703,2023-03-31,22,其他化學,M17Z,TEJN11  傳產- 其他化學,110.91,1.0,3.11,8.54,6.25,58.44,61.58,61.58,119.22,115.52,110.36,110.36,78.56,20.23,14.72,-10.01,3.05,2023-03-31,2023,,
6733 博晟生醫,6733,6733,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,33.55,1.0,-0.46,-6.96,-6.37,117.61,215.3,215.3,-7.74,-8.83,-9.2,-9.2,-9.2,19.97,20.42,720.62,-0.51,2023-03-31,2023,,
6741 91APP*-KY,6741,6741,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,108.41,1.0,0.64,2.91,1.88,14.71,16.28,16.28,20.18,21.97,14.31,14.31,14.29,0.79,1.26,-5.51,0.26,2023-03-31,2023,,
6751 智聯服務,6751,6751,2023-03-31,30,軟體服務,M23X,TEJT22  電子- 軟體,91.17,1.0,1.13,4.43,2.88,33.48,149.77,149.77,345.99,313.11,334.4,334.4,342.19,52.57,39.34,1151.32,2.8,2023-03-31,2023,,
6752 叡揚,6752,6752,2023-03-31,30,軟體服務,M23X,,134.0,1.0,1.23,3.96,1.66,20.62,30.39,30.39,52.59,51.22,52.34,52.34,52.34,18.21,6.61,,0.62,2023-03-31,2023,,
6753 龍德造船,6753,6753,2023-03-31,15,機車船製造,M22B,TEJN16  傳產- 汽車,116.0,1.0,1.54,6.69,2.24,88.57,83.12,83.12,108.61,112.91,114.18,114.18,114.18,23.1,56.2,22.45,1.39,2023-03-31,2023,,
6762 達亞,6762,6762,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,251.0,1.0,1.41,3.08,1.86,63.97,154.7,154.7,745.24,42.44,42.89,42.89,42.89,28.46,8.71,135.25,0.6,2023-03-31,2023,,
6763 綠界科技,6763,6763,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,457.4,1.0,5.09,3.88,1.62,7.24,2.2,2.2,13.36,24.6,23.16,23.16,23.16,6.61,14.61,-15.7,0.27,2023-03-31,2023,,
6767 台微醫,6767,6767,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,38.75,1.0,0.4,3.1,2.29,51.84,61.6,61.6,61.91,227.54,221.71,221.71,55.61,3.16,1.18,49.27,4.16,2023-03-31,2023,,
6788 華景電,6788,6788,2023-03-31,24,電子設備,M23H,TEJT18  電子- 電子設備,139.45,1.0,2.39,5.54,3.36,13.51,22.85,22.85,22.14,16.71,16.3,16.3,15.85,36.89,-5.44,38.71,0.55,2023-03-31,2023,,
6791 虎門科技,6791,6791,2023-03-31,30,軟體服務,M23X,,76.34,1.0,0.92,4.24,2.8,15.2,41.57,41.57,65.81,60.11,63.16,63.16,70.56,5.21,41.44,-3.43,1.04,2023-03-31,2023,,
6796 晉弘,6796,6796,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,99.24,1.0,0.39,2.02,1.56,7.92,18.57,18.57,158.78,8.91,-8.2,-8.2,-8.2,17.6,31.84,40.46,-0.18,2023-03-31,2023,,
6803 崑鼎,6803,6803,2023-03-31,35,資源回收,M99L,TEJO99  其它業別,259.04,1.0,4.01,6.49,2.94,15.89,15.17,15.17,17.81,20.99,33.99,33.99,32.59,7.23,-6.2,9.06,0.76,2023-03-31,2023,,
6804 明係,6804,6804,2023-03-31,37,其他,M99Z,TEJN23  傳產- 運動休閒,53.79,1.0,1.29,3.6,1.6,31.14,15.99,15.99,49.2,10.74,10.71,10.71,3.03,18.54,17.4,-2.68,0.21,2023-03-31,2023,,
6806 森崴能源,6806,6806,2023-03-31,35,公用事業,M99D,,88.2,1.0,0.26,0.47,0.27,69.51,80.58,80.58,161.78,19.39,19.19,19.19,24.92,37.14,70.61,18.49,0.1,2023-03-31,2023,,
6811 宏碁資訊,6811,6811,2023-03-31,36,軟體服務,M23X,,215.8,1.0,2.88,6.46,2.3,10.22,11.33,11.33,2.15,1.79,2.91,2.91,2.91,23.51,90.11,-56.12,0.06,2023-03-31,2023,,
6821 聯寶,6821,6821,2023-03-31,28,電子零組件,M23D,TEJT13  電子- 被動元件,,1.0,0.46,2.66,1.59,2.44,30.47,30.47,90.69,2.99,5.01,5.01,-13.74,-1.67,-0.17,,0.06,2023-03-31,2023,,
6841 長佳智能,6841,6841,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,117.97,1.0,0.03,0.13,0.13,35.34,20.17,20.17,-83.26,114.87,115.09,115.09,-83.72,49.67,50.38,-10.09,1.15,2023-03-31,2023,,
6843 進典,6843,6843,2023-03-31,5,其他電製品,M15Z,TEJN07  傳產- 電機及家電,76.71,1.0,1.15,4.93,3.29,16.1,71.75,71.75,188.77,169.27,175.39,175.39,175.39,19.87,40.79,-3.89,2.1,2023-03-31,2023,,
6855 數泓科,6855,6855,2023-03-31,31,機械業,M15A,TEJN06  傳產- 工具機,80.58,1.0,1.11,3.34,2.27,24.33,19.91,19.91,29.87,-24.71,-24.79,-24.79,-4.31,75.7,39.34,-2.57,-0.69,2023-03-31,2023,,
6859 伯特光,6859,6859,2023-03-31,26,消費性電子,M23U,TEJT21  電子- 消費性電子,165.0,1.0,0.68,1.39,1.12,2.71,17.63,17.63,20.67,-41.83,-41.93,-41.93,-40.02,21.34,32.1,0.91,-0.99,2023-03-31,2023,,
6861 睿生光電,6861,6861,2023-03-31,22,醫療耗材,M17G,TEJN10  傳產- 醫療耗材,128.46,1.0,0.82,2.76,1.28,1.98,13.56,13.56,106.02,-21.04,-18.37,-18.37,-18.38,44.72,83.19,22.17,-0.15,2023-03-31,2023,,
6863 永道-KY,6863,6863,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,182.17,1.0,1.51,2.92,2.61,14.33,21.18,21.18,40.16,35.61,54.36,54.36,71.14,36.23,37.22,-13.28,0.68,2023-03-31,2023,,
6877 鏵友益,6877,6877,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,,1.0,0.41,2.66,1.42,5.66,29.08,29.08,253.17,196.05,193.51,193.51,193.51,13.93,5.63,18.89,1.23,2023-03-31,2023,,
8028 昇陽半導體,8028,8028,2023-03-31,24,半導體,M23G,TEJT16  電子- 晶圓製造,60.0,1.0,0.4,2.04,0.71,17.22,3.81,3.81,-8.65,-8.49,-8.57,-8.57,-35.32,35.44,18.13,65.54,0.21,2023-03-31,2023,,
8033 雷虎,8033,8033,2023-03-31,20,其他,M99Z,TEJO99  其它業別,58.2,1.0,-0.1,-0.28,-0.17,5.08,17.82,17.82,136.58,-626.18,-251.77,-251.77,-246.34,37.12,40.28,-2.53,-0.41,2023-03-31,2023,,
8038 長園科,8038,8038,2023-03-31,28,電子零組件,M23D,TEJT14  電子- 電子零組件其他,42.45,1.0,0.16,2.35,0.97,504.65,415.07,415.07,224.49,222.43,222.43,222.43,222.43,11.99,1.62,-3.97,1.93,2023-03-31,2023,,
8048 德勝,8048,8048,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,36.22,1.0,0.74,4.94,3.7,42.13,52.95,52.95,138.42,138.83,162.45,162.45,45.95,8.16,2.81,-9.66,1.77,2023-03-31,2023,,
8049 晶采,8049,8049,2023-03-31,26,光電/ IO,M23C,TEJT08  電子- 面板,36.72,1.0,0.78,7.99,6.55,23.73,54.65,54.65,86.38,31.58,28.47,28.47,27.92,10.21,11.82,10.26,0.79,2023-03-31,2023,,
8050 廣積,8050,8050,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,81.53,1.0,1.87,4.92,2.99,8.97,13.1,13.32,10.57,28.21,36.43,36.43,14.68,23.39,42.91,36.37,0.6,2023-03-31,2023,,
8069 元太,8069,8069,2023-03-31,26,光電/ IO,M23C,TEJT08  電子- 面板,180.64,1.0,1.54,3.66,2.33,21.29,23.76,23.76,27.13,25.85,20.18,20.18,1.22,11.83,14.79,44.82,0.61,2023-03-31,2023,,
8077 洛碁,8077,8077,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,36.35,1.0,-0.89,-7.69,-0.61,53.06,204.55,204.55,87.61,67.04,67.04,67.04,67.04,-11.45,-43.07,-14.0,1.13,2023-03-31,2023,,
8093 保銳,8093,8093,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,13.1,1.0,-0.26,-3.33,-1.88,52.95,117.75,117.75,64.6,-552.47,-83.71,-83.71,60.36,-1.13,-0.3,4.59,-0.75,2023-03-31,2023,,
8104 錸寶,8104,8104,2023-03-31,26,光電/ IO,M23C,TEJT08  電子- 面板,39.56,1.0,0.14,0.81,0.37,81.82,151.47,151.47,162.44,621.49,158.93,158.93,169.96,4.44,-1.95,0.23,1.04,2023-03-31,2023,,
8109 博大,8109,8109,2023-03-31,28,電子零組件,M23D,TEJT11  電子- 電源供應器,85.48,1.0,1.83,5.98,2.93,26.88,32.9,32.9,48.76,-10.6,-9.98,-9.98,-14.14,10.74,26.41,30.12,-0.25,2023-03-31,2023,,
8176 智捷,8176,8176,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,11.95,1.0,-0.33,-4.24,-2.85,40.0,772.17,772.17,48.51,22.31,22.19,22.19,8.05,-2.02,-16.09,-9.11,0.96,2023-03-31,2023,,
8222 寶一,8222,8222,2023-03-31,5,機車船製造,M22B,,38.65,1.0,0.08,0.7,0.39,65.9,1241.7,1241.7,152.11,211.63,175.35,175.35,175.35,8.93,4.25,,0.93,2023-03-31,2023,,
8227 巨有科技,8227,8227,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,213.21,1.0,0.96,5.04,3.53,32.26,40.43,40.43,81.26,55.63,56.12,56.12,78.25,53.64,110.76,6.36,1.34,2023-03-31,2023,,
8249 菱光,8249,8249,2023-03-31,28,光電/ IO,M23C,TEJT05  電子- PC週邊,28.18,1.0,0.42,25.45,15.92,1.49,58.89,58.89,133.98,115.91,93.39,93.39,115.63,6.4,15.88,-22.45,0.31,2023-03-31,2023,,
8255 朋程,8255,8255,2023-03-31,5,電子零組件,M23D,TEJT14  電子- 電子零組件其他,188.53,1.0,1.25,5.19,2.79,13.68,23.53,23.53,64.75,-22.49,-21.94,-21.94,-22.51,27.29,-0.54,8.7,-0.08,2023-03-31,2023,,
8279 生展,8279,8279,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,159.29,1.0,2.69,3.72,2.38,17.28,23.8,23.8,20.42,11.74,11.62,11.62,11.33,23.41,11.26,30.36,0.33,2023-03-31,2023,,
8420 明揚,8420,8420,2023-03-31,37,其他,M99Z,TEJN23  傳產- 運動休閒,88.6,1.0,3.1,10.0,4.76,37.67,90.82,90.82,120.37,78.56,77.98,77.98,76.53,57.45,28.18,4.02,2.31,2023-03-31,2023,,
8422 可寧衛,8422,8422,2023-03-31,35,資源回收,M99L,TEJO99  其它業別,178.99,1.0,2.88,4.91,2.38,14.72,19.68,19.68,20.57,20.09,20.06,20.06,19.68,42.23,-4.19,16.21,0.49,2023-03-31,2023,,
8426 紅木-KY,8426,8426,2023-03-31,20,五金及家具,M99B,TEJO99  其它業別,39.0,1.0,1.12,5.55,2.04,66.6,204.36,204.36,296.59,320.8,304.73,304.73,253.76,20.12,17.35,-0.84,3.85,2023-03-31,2023,,
8436 大江,8436,8436,2023-03-31,22,藥,M17C,TEJN09  傳產- 西藥,196.17,1.0,1.39,1.65,1.12,12.96,5.91,5.91,11.6,-6.46,-1.86,-1.86,-0.95,-1.85,14.69,-2.19,0.12,2023-03-31,2023,,
8440 綠電,8440,8440,2023-03-31,35,資源回收,M99L,TEJO99  其它業別,46.27,1.0,0.6,3.81,3.27,2.04,6.42,6.42,-18.41,65.84,91.86,91.86,-15.55,2.11,3.96,-10.34,1.73,2023-03-31,2023,,
8442 威宏-KY,8442,8442,2023-03-31,20,鞋及旅行箱,M99K,TEJN23  傳產- 運動休閒,79.64,1.0,1.4,4.13,1.54,0.1,8.2,8.2,65.69,28.74,30.25,30.25,31.09,15.99,38.92,,0.45,2023-03-31,2023,,
8446 華研,8446,8446,2023-03-31,32,其他,M99Z,TEJO99  其它業別,84.16,1.0,1.48,5.02,2.47,10.88,5.36,5.36,4.18,81.33,80.61,80.61,-28.65,0.76,6.24,50.64,1.13,2023-03-31,2023,,
8454 富邦媒,8454,8454,2023-03-31,36,通訊設備,M23K,TEJT15  電子- 網通,803.55,1.0,4.07,8.8,3.55,9.52,7.59,7.59,5.12,7.91,7.79,7.79,7.43,8.84,10.84,26.47,0.31,2023-03-31,2023,,
8463 潤泰材,8463,8463,2023-03-31,20,水泥製造,M11A,TEJN01  傳產- 水泥,23.14,1.0,0.03,-2.55,-0.87,61.06,1726.16,1726.16,157.83,131.69,125.27,125.27,125.27,12.41,-2.94,6.59,1.21,2023-03-31,2023,,
8467 波力-KY,8467,8467,2023-03-31,37,其他,M99Z,TEJO99  其它業別,59.6,1.0,0.64,2.01,1.02,14.76,2.79,2.79,-16.22,-34.77,-21.02,-21.02,-17.37,5.3,6.11,-1.13,-0.06,2023-03-31,2023,,
8478 東哥遊艇,8478,8478,2023-03-31,37,機車船製造,M22B,TEJN16  傳產- 汽車,506.26,1.0,7.0,11.64,6.08,21.49,51.88,51.88,68.51,57.12,58.97,58.97,58.97,32.64,49.79,-10.09,2.58,2023-03-31,2023,,
8905 裕國,8905,8905,2023-03-31,20,罐頭加工,M12A,TEJN02  傳產- 食品,24.4,1.0,0.95,4.25,3.16,111.99,143.11,143.11,151.46,140.98,137.64,137.64,137.82,-3.71,-0.65,-2.48,1.78,2023-03-31,2023,,
8908 欣雄,8908,8908,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,72.0,1.0,0.37,2.74,1.18,0.18,6.95,6.95,-6.6,-7.0,-7.27,-7.27,-6.87,14.81,9.7,13.0,0.04,2023-03-31,2023,,
8917 欣泰,8917,8917,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,72.01,1.0,0.68,4.36,2.13,5.64,1.87,1.87,2.26,3.55,3.54,3.54,3.34,5.35,8.57,2.24,0.12,2023-03-31,2023,,
8921 沈氏,8921,8921,2023-03-31,20,印刷,M99C,TEJO99  其它業別,14.6,1.0,-0.17,-0.34,-0.26,25.54,0.68,0.68,-7.73,-161.1,-163.67,-163.67,-39.52,-10.57,-4.96,-9.0,-1.81,2023-03-31,2023,,
8926 台汽電,8926,8926,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,37.19,1.0,1.15,5.55,2.7,21.79,92.21,92.35,15637.02,129.29,136.81,136.81,149.94,5.04,2.15,11.42,1.67,2023-03-31,2023,,
8927 北基,8927,8927,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,41.0,1.0,0.07,0.33,0.11,8.54,12.87,12.87,-49.32,46.72,129.84,129.84,142.15,65.02,78.73,666.8,0.27,2023-03-31,2023,,
8930 青鋼,8930,8930,2023-03-31,10,金屬製品,M20B,TEJN14  傳產- 鋼鐵,17.15,1.0,0.64,4.01,2.28,5.59,43.0,43.0,100.46,37.05,37.38,37.38,37.87,-0.36,8.85,2.1,0.62,2023-03-31,2023,,
8931 大汽電,8931,8931,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,74.89,1.0,0.78,4.63,2.35,73.2,291.34,291.34,807.62,832.69,817.59,817.59,817.59,-2.18,11.05,9.74,2.02,2023-03-31,2023,,
8940 新天地,8940,8940,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,24.05,1.0,0.74,7.3,2.48,35.05,33.9,33.9,8.21,4.1,-1.73,-1.73,-3.83,20.79,4.67,24.55,0.13,2023-03-31,2023,,
8942 森鉅,8942,8942,2023-03-31,20,石化,M13A,TEJN04  傳產- 塑膠製品,59.23,1.0,2.16,4.7,2.56,1.53,2.91,2.91,46.74,-15.24,-15.42,-15.42,-24.33,1.74,13.52,-3.39,-0.34,2023-03-31,2023,,
8996 高力,8996,8996,2023-03-31,5,其他電製品,M15Z,TEJN07  傳產- 電機及家電,232.56,1.0,1.42,6.32,3.03,81.5,85.56,85.56,223.34,150.9,171.98,171.98,155.96,27.46,13.23,7.37,2.06,2023-03-31,2023,,
9110 越南控-DR,9110,9110,2023-03-31,91,機車船製造,M22B,TEJN16  傳產- 汽車,3.42,1.0,0.05,2.74,1.12,7.04,47.14,47.14,165.59,222.44,222.44,222.44,222.44,14.27,4.44,,1.12,2023-03-31,2023,,
9802 鈺齊-KY,9802,9802,2023-03-31,37,鞋及旅行箱,M99K,TEJN23  傳產- 運動休閒,133.5,1.0,2.5,3.48,1.92,11.63,8.96,8.96,6.15,-10.19,-11.52,-11.52,-11.27,7.31,27.42,9.78,-0.02,2023-03-31,2023,,
9902 台火,9902,9902,2023-03-31,20,其他,M99Z,TEJO99  其它業別,12.5,1.0,0.12,0.96,0.9,162.45,44.37,44.37,25.07,489.41,695.09,695.09,211.79,-6.3,-6.64,-6.29,0.79,2023-03-31,2023,,
9908 大台北,9908,9908,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,30.56,1.0,0.51,2.94,2.12,3.8,6.73,6.73,11.2,51.63,60.58,60.58,14.47,1.77,1.16,6.12,0.54,2023-03-31,2023,,
9914 美利達,9914,9914,2023-03-31,37,其他,M99Z,TEJN23  傳產- 運動休閒,162.98,1.0,1.89,2.43,1.24,2.83,18.82,36.84,72.04,-46.25,-48.9,-48.9,-49.15,6.94,7.11,-6.75,-1.34,2023-03-31,2023,,
9917 中保科,9917,9917,2023-03-31,20,保全業,M99I,TEJO99  其它業別,101.05,1.0,1.37,5.36,2.61,8.76,10.93,10.93,16.85,-9.54,-13.37,-13.37,-15.64,8.84,2.95,29.38,-0.28,2023-03-31,2023,,
9925 新保,9925,9925,2023-03-31,20,保全業,M99I,TEJO99  其它業別,38.8,1.0,0.5,2.38,1.57,0.29,2.3,2.3,-4.91,-3.01,-1.69,-1.69,-2.4,-3.47,-3.14,,0.04,2023-03-31,2023,,
9926 新海,9926,9926,2023-03-31,23,公用事業,M99D,TEJN22  傳產- 油電燃氣,49.93,1.0,0.72,5.08,2.37,1.85,2.49,2.49,0.06,3.66,4.13,4.13,2.76,4.24,-0.21,0.82,0.1,2023-03-31,2023,,
9930 中聯資源,9930,9930,2023-03-31,35,其他水泥,M11C,TEJN01  傳產- 水泥,46.21,1.0,0.74,3.18,1.59,10.07,1.53,1.53,0.44,-0.78,-0.98,-0.98,-1.07,-4.66,1.16,-7.25,0.1,2023-03-31,2023,,
9940 信義,9940,9940,2023-03-31,20,仲介建經,M25D,TEJN17  傳產- 營建,27.65,1.0,0.68,4.16,1.57,14.45,4.59,4.59,7.3,13.59,3.95,3.95,5.17,-6.81,-8.02,7.11,0.08,2023-03-31,2023,,
9941 裕融,9941,9941,2023-03-31,20,租賃業,M28K,TEJF01  金融- 金融中介,158.88,1.0,3.5,5.17,0.69,16.33,9.71,9.71,6.2,7.81,8.25,8.25,8.23,15.22,35.91,,0.11,2023-03-31,2023,,
9942 茂順,9942,9942,2023-03-31,20,汽車組件,M15D,TEJN16  傳產- 汽車,116.44,1.0,2.54,6.03,4.16,19.69,44.07,43.07,84.41,57.3,51.26,51.26,48.59,7.83,8.26,0.71,1.43,2023-03-31,2023,,
9943 好樂迪,9943,9943,2023-03-31,16,觀光遊樂區,M27B,TEJN20  傳產- 觀光餐飲,65.9,1.0,2.87,6.71,4.28,13.72,24.63,24.63,79.3,54.95,54.12,54.12,69.65,5.54,-4.05,-12.93,1.39,2023-03-31,2023,,
9950 萬國通,9950,9950,2023-03-31,3,鞋及旅行箱,M99K,TEJN23  傳產- 運動休閒,12.4,1.0,0.15,7.24,0.56,17.24,421.14,421.14,168.55,133.29,132.47,132.47,139.76,4.04,50.22,-4.82,2.59,2023-03-31,2023,,
9951 皇田,9951,9951,2023-03-31,5,汽車組件,M15D,TEJN16  傳產- 汽車,67.62,1.0,1.35,4.17,2.49,7.32,14.64,14.64,56.07,23.41,16.49,16.49,17.48,7.59,7.98,-8.41,0.24,2023-03-31,2023,,
9960 邁達康,9960,9960,2023-03-31,37,百貨批發,M29A,,28.71,1.0,0.59,3.76,1.76,6.32,12.96,12.96,14.35,8.69,3.33,3.33,-20.04,12.1,12.83,84.37,0.13,2023-03-31,2023,,
9962 有益,9962,9962,2023-03-31,10,金屬基本,M20A,TEJN14  傳產- 鋼鐵,19.77,1.0,0.48,3.89,3.05,9.4,14.1,14.1,20.88,16.26,16.33,16.33,16.03,-4.2,-3.64,31.29,0.34,2023-03-31,2023,,
