證券代碼,日期,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),5日均價(元),10日均價(元),20日均價(元),60日均價(元),5日均量,10日均量,20日均量,60日均量,區間股價變化,區間股價變化率,月報所屬日期,季報所屬日期,營收發布日,單月營收(千元),去年單月營收(千元),單月營收成長率％,單月營收與上月比％,單月營收與上月比％-成長月數,累計營收(千元),去年累計營收(千元),累計營收成長率％,季別,季報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率),區間董監持股變化,區間融資餘額(張)變化,區間融券餘額(張)變化,區間200-400 張(比率)變化,區間400-600 張(比率)變化,區間600-800 張(比率)變化,區間800-1000張(比率)變化,區間1000張以上  (比率)變化,區間董監持股變化率,區間融資餘額(張)變化率,區間融券餘額(張)變化率,上市別,產業別,公司,產業名稱,資本額,規模,指數名稱,指數開盤價(元),指數最高價(元),指數最低價(元),指數收盤價(元),指數成交量(千股),指數5日均價(元),指數10日均價(元),指數20日均價(元),指數60日均價(元),指數5日均量,指數10日均量,指數20日均量,指數60日均量,區間指數變化,區間指數變化率,股價變化率分组,區間融資餘額(張)變化率_b,融券增減比率_b,融資增減比率_b,區間融資餘額(張)變化_b,券資比_b
1109,2023-10-16,17.7,17.8,17.65,17.7,94.0,17.78,17.765,17.85,17.7667,184.0,136.0,112.0,186.0,-0.6,-3.28,2023-09-28,2023-06-30,2023-10-11,490929.0,634886.0,-22.67,-9.38,-2.0,4625786.0,4675441.0,-1.06,2,2023-08-10,0.6,0.81,0.98,5.88,3.25,2.17,2.47,2.58,2.29,18.27,5.98,66.06,9.09,13.13,50.44,25.3,20.71,26.32,14.77,6268.75,6311423,-3.92,27.16,83.16,-1.17,0.15,2.43,22.69,3.2,3.2,22.69,557426,1696455,9558054,150192,-4,0,20,16,-26,0,1,1,36.37,124089,1081,6,0.56,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0,-242,6,0.0,0.0,0.0,0.0,0.0,0.0,18.29,10000.0,TSE,1,信大,水泥工業,3411588680.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-5, -3]","(3.893, 60.83]","(-92.161, 0.0]","(0.0, 0.923]","(-3666.001, -43.333]","(-0.001, 0.707]"
1234,2023-10-16,38.5,38.6,38.2,38.6,239.0,38.54,38.465,38.43,38.8375,167.0,147.0,138.0,233.0,1.25,3.35,2023-09-28,2023-06-30,2023-10-11,1017186.0,890678.0,14.2,-9.26,-1.0,7964124.0,6965192.0,14.34,2,2023-08-09,0.51,0.92,1.6,13.51,1.53,0.91,1.21,1.14,1.13,5.92,29.31,3.55,3.39,8.82,6.95,15.23,11.27,18.47,8.86,15.14,16577179,14.83,-9.52,77.84,-0.44,0.1,5.34,29.63,16.97,16.97,29.63,-15827,2300026,18010490,33977,-1,0,5,4,-4,0,1,1,12.06,48483,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,-40,0,0.0,0.0,0.0,0.0,0.0,-0.35,45.98,,TSE,2,黑松,食品工業,4018710940.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(3, 5]","(3.893, 60.83]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
1337,2023-10-16,7.18,7.18,7.02,7.04,625.0,7.146,7.146,7.2495,7.503,304.0,270.0,280.0,454.0,-1.41,-16.69,2023-09-28,2023-06-30,2023-10-11,66442.0,65786.0,1.0,-4.23,-1.0,539584.0,470974.0,14.57,2,2023-08-23,-0.35,0.54,3.59,0.0,-1.2,-1.92,-1.34,-1.98,-1.98,-53.3,21.09,-3.6,-3.74,-49.44,-4.03,-30.82,-49.44,21.77,-49.44,21.77,2471687,25.88,28.24,96.58,-11.34,0.04,3.86,-24.63,28.74,28.74,-24.63,87923,188637,4576468,-52101,-42,0,0,-42,-4,0,0,-4,14.46,38888,15904,0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0,-942,-24,0.0,0.0,0.0,0.0,0.0,0.0,5.59,100.0,TSE,3,再生-KY,塑膠工業,2689547290.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-17, -15]","(3.893, 60.83]","(-92.161, 0.0]","(0.0, 0.923]","(-3666.001, -43.333]","(-0.001, 0.707]"
1340,2023-10-16,11.7,11.7,11.5,11.6,87.0,11.73,11.785,11.7225,12.1,88.0,85.0,93.0,137.0,-1.9,-14.07,2023-09-28,2023-06-30,2023-10-09,48654.0,43352.0,12.23,-2.61,-2.0,431401.0,360242.0,19.75,2,2023-08-31,-0.64,0.5,3.98,0.0,-1.67,-2.14,-1.79,-2.21,-2.21,-63.54,2.51,-14.1,-6.9,-59.08,-16.21,-46.29,-58.42,7.36,-59.17,6.07,2140908,44.01,47.41,96.54,-11.24,0.04,5.11,-34.91,17.49,17.49,-34.91,140162,165973,4313320,-124037,-1,0,2,1,-2,0,1,1,0.0,0,875,0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0,-22,0,0.0,0.0,0.0,0.0,0.0,,2.45,,TSE,3,勝悅-KY,塑膠工業,1529228550.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-15, -13]","(-14.577, 3.893]","(-92.161, 0.0]","(0.0, 0.923]","(-43.333, 340.0]","(-0.001, 0.707]"
1423,2023-10-16,23.7,23.7,23.7,23.7,0.0,23.725,23.6786,23.6588,23.6526,45.0,36.0,49.0,58.0,0.6,2.6,2023-09-28,2023-06-30,2023-10-06,6637.0,9251.0,-28.26,-40.14,-1.0,91275.0,136226.0,-33.0,2,2023-08-11,-0.01,1.07,23.95,46.13,-0.19,-0.03,-0.27,-0.04,-0.36,-134.52,-335.34,-121.22,-2.51,-42.47,-103.79,13.36,4.0,-94.98,-4.3,-107.49,3266240,-38.06,-29.86,90.56,0.37,0.01,138.52,-108.88,-4811.07,-4811.07,-108.88,37110,25787,3062943,20177,0,0,0,0,0,0,0,0,26.11,36133,2671,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,338,0,0.0,0.0,0.0,0.0,0.0,-0.9,-14.49,,TSE,4,利華,紡織纖維,996480000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(1, 3]","(-14.577, 3.893]","(-92.161, 0.0]","(-6.471, 0.0]","(-43.333, 340.0]","(-0.001, 0.707]"
1456,2023-10-16,16.3,16.7,16.25,16.45,96.0,16.11,15.95,16.2575,16.3283,63.0,76.0,51.0,54.0,-0.2,-1.2,2023-09-28,2023-06-30,2023-10-06,216090.0,50058.0,331.68,194.1,1.0,1449299.0,481754.0,200.84,2,2023-08-09,1.31,0.98,1.18,31.52,1.9,1.71,1.73,8.03,8.04,23.83,720.83,980.61,23.48,13.32,308.4,24.21,13.47,563.6,13.31,463.17,1555752,300.28,635.66,12.81,54.27,0.08,-10.36,31.92,406.26,406.26,31.92,-489238,923458,1591222,-1013400,10,0,0,10,1,0,0,4,47.63,44643,519,0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,-7.23,,TSE,14,怡華,建材營造,937200000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(-14.577, 3.893]","(-92.161, 0.0]","(0.923, 18.74]","(-43.333, 340.0]","(-0.001, 0.707]"
1465,2023-10-16,13.0,13.05,12.95,12.95,71.0,13.03,13.0,13.045,13.3308,36.0,36.0,33.0,48.0,-1.4,-9.76,2023-09-28,2023-06-30,2023-10-05,40641.0,62698.0,-35.18,-8.91,-4.0,436176.0,412367.0,5.77,2,2023-08-11,0.35,0.91,2.24,15.33,2.35,1.86,2.07,2.25,2.13,0.16,-70.93,117.44,0.03,20.37,1399.13,28.36,23.92,29.57,21.54,10.09,1486760,42.69,29.26,81.43,7.36,0.09,23.75,13.72,13.23,13.23,13.72,1917,168872,1634777,37513,-2,0,0,-2,-2,0,0,-2,18.0,18654,3122,0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,1112,74,0,0.0,0.0,0.0,0.0,0.0,-6.34,-2.43,,TSE,4,偉全,紡織纖維,1036072670.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-11, -9]","(-14.577, 3.893]","(-92.161, 0.0]","(0.0, 0.923]","(-43.333, 340.0]","(-0.001, 0.707]"
1525,2023-10-16,79.7,84.2,79.5,79.5,719.0,77.4,77.31,78.43,84.5683,272.0,171.0,133.0,190.0,1.5,1.92,2023-09-28,2023-06-30,2023-10-06,124629.0,144636.0,-13.83,19.21,1.0,1239741.0,1084187.0,14.35,2,2023-08-09,0.8,1.88,5.03,17.79,1.56,1.03,1.25,1.25,1.24,5.31,95.65,-16.47,3.07,13.79,-69.52,21.07,17.23,1.26,13.83,-12.0,8624500,17.53,-6.57,81.38,1.09,0.07,11.92,12.29,41.29,41.29,12.29,274340,425144,4594021,-15927,-173,0,-1,-174,-2,0,-1,-2,76.83,56391,1412,95,6.73,17.28,2.02,0.0,0.0,0.0,0.0,0.0,0,273,90,0.0,0.0,0.0,0.0,0.0,0.0,-23.97,-1800.0,TSE,12,江申,汽車工業,734001350.0,中,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(1, 3]","(-904.381, -14.577]","(0.0, 1080.0]","(0.923, 18.74]","(-43.333, 340.0]","(0.707, 35.48]"
1612,2023-10-16,25.4,25.4,24.9,25.0,1235.0,25.65,26.66,26.45,25.77,2658.0,4252.0,3640.0,3671.0,2.6,11.61,2023-09-28,2023-06-30,2023-10-06,459278.0,532534.0,-13.76,-32.26,-1.0,4448558.0,4577438.0,-2.82,2,2023-08-10,0.54,1.18,1.37,13.46,2.14,2.07,2.17,2.37,2.23,9.18,4.09,-10.96,4.22,11.15,8.32,15.44,13.82,45.62,11.84,528.28,8423532,2.65,6.8,85.43,-7.08,0.17,4.64,14.7,16.66,16.66,14.7,550952,1452247,7114896,-40863,-208,0,-27,-235,-2,0,-2,-2,12.41,39238,3681,41,1.11,-29.31,-2.18,0.0,0.0,0.0,0.0,0.0,0,941,-3,0.0,0.0,0.0,0.0,0.0,0.0,-34.34,6.82,TSE,6,宏泰,電器電纜,3160800630.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(11, 13]","(-904.381, -14.577]","(-92.161, 0.0]","(-6.471, 0.0]","(340.0, 46608.0]","(0.707, 35.48]"
1626,2023-10-16,16.9,17.25,16.85,17.15,189.0,16.9,16.89,16.7925,17.3958,119.0,109.0,102.0,150.0,-1.6,-8.53,2023-09-28,2023-06-30,2023-10-11,524592.0,733716.0,-28.5,88.94,1.0,6914498.0,7792509.0,-11.27,2,2023-08-09,1.17,0.84,0.3,0.0,3.32,1.91,2.65,5.31,5.23,4.7,-13.37,1096.32,11.1,4.63,636.79,8.94,6.07,-9.2,4.7,-19.57,2670732,-7.79,95.65,32.63,-6.18,0.38,1.37,23.71,21.75,21.93,23.7,45560,3611446,3168385,948854,16,0,0,16,1,0,0,1,26.18,40010,2163,0,0.0,0.0,-1.95,0.0,0.0,0.0,0.0,0.0,1904,-218,-124,0.0,0.0,0.0,0.0,0.0,-5.0,9.16,100.0,TSE,6,艾美特-KY,電器電纜,1528217210.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-9, -7]","(3.893, 60.83]","(-92.161, 0.0]","(-6.471, 0.0]","(-3666.001, -43.333]","(-0.001, 0.707]"
1810,2023-10-16,18.75,18.9,18.4,18.4,746.0,18.86,19.075,19.5275,20.3583,1195.0,884.0,1108.0,1966.0,-3.35,-15.4,2023-09-28,2023-06-30,2023-10-11,394617.0,398827.0,-1.06,-7.23,-1.0,3602391.0,3762408.0,-4.25,2,2023-08-14,0.03,1.13,1.54,171.03,1.05,0.21,0.72,0.14,0.16,0.92,-76.9,219.11,0.4,0.81,175.42,8.16,2.13,-72.3,0.71,-82.3,7400008,-3.11,18.96,64.14,-3.84,0.13,1.21,24.93,-6.21,-6.21,24.93,6302,1302563,6591343,599809,-157,0,0,-157,-4,0,0,-4,8.4,25388,19967,110,0.55,4.76,0.07,0.0,0.0,0.0,0.0,0.0,0,-820,-573,0.0,0.0,0.0,0.0,0.0,0.0,3.94,83.89,TSE,8,和成,玻璃陶瓷,3023037190.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-17, -15]","(3.893, 60.83]","(0.0, 1080.0]","(0.0, 0.923]","(-3666.001, -43.333]","(-0.001, 0.707]"
2107,2023-10-16,23.55,24.1,23.35,23.95,770.0,23.28,23.075,22.9889,21.9434,369.0,341.0,320.0,396.0,2.0,9.11,2023-09-28,2023-06-30,2023-10-11,91419.0,107742.0,-15.15,-20.94,-1.0,1054771.0,1496200.0,-29.5,2,2023-08-08,0.75,0.62,4.7,9.94,2.22,1.81,1.96,2.1,2.1,16.49,-51.69,4.29,2.06,60.24,395.63,75.61,67.78,4.28,60.31,17.51,7454905,-19.72,24.97,82.61,8.13,0.03,51.29,29.41,-39.02,-39.02,29.41,366087,420961,12090930,219217,55,0,89,144,4,0,1,4,25.49,77383,608,0,0.0,0.0,11.15,0.0,0.0,0.0,0.0,0.0,-7548,-24,-3,0.0,0.0,0.0,0.0,0.0,8.89,3.8,100.0,TSE,11,厚生,橡膠工業,3035934000.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(9, 11]","(-14.577, 3.893]","(-92.161, 0.0]","(0.923, 18.74]","(-43.333, 340.0]","(-0.001, 0.707]"
2363,2023-10-16,47.9,50.0,47.35,49.95,194539.0,44.14,40.665,39.0125,31.0633,179836.0,120432.0,104809.0,96248.0,12.15,32.14,2023-09-28,2023-06-30,2023-10-06,53734.0,8902.0,503.62,175.98,2.0,152018.0,137784.0,10.33,2,2023-08-10,1.15,0.77,91.12,22.01,4.9,4.54,4.56,4.66,4.66,-388.53,1.72,-48.29,-1.95,2283.83,1020.41,2464.8,2449.7,29.18,2283.83,30.46,13679999,-37.45,13.11,95.34,19.46,0.0,2838.23,30.2,358.67,358.67,30.2,738539,37584,17848196,-1061607,-20085,0,-518,-20603,-1,0,-1,-1,24.18,181259,54766,19429,35.48,4.46,18.74,0.0,0.0,0.0,0.0,0.0,-1000,46608,19379,0.0,0.0,0.0,0.0,0.0,0.55,-571.32,-38758.0,TSE,24,矽統,半導體,7495893560.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(31, 33]","(-904.381, -14.577]","(0.0, 1080.0]","(0.923, 18.74]","(340.0, 46608.0]","(0.707, 35.48]"
2374,2023-10-16,23.95,23.95,23.3,23.5,1974.0,24.11,24.56,24.23,22.355,2483.0,2956.0,2727.0,2732.0,-0.3,-1.26,2023-09-28,2023-06-30,2023-10-11,509842.0,526031.0,-3.08,-12.44,-1.0,3608731.0,3995613.0,-9.68,2,2023-08-11,0.21,0.96,1.23,36.81,1.64,0.6,1.1,0.77,0.76,-2.66,-1194.69,50.47,-1.02,4.54,167.53,12.87,7.69,37.14,4.55,14.42,5909070,-25.14,18.37,73.77,-2.94,0.13,10.35,23.85,-13.47,-13.47,23.85,198789,1099486,6468277,212801,-60,0,27,-33,-1,0,1,-1,11.46,32946,8579,124,1.45,-8.15,-0.37,0.0,0.0,0.0,0.0,0.0,450,1830,103,0.0,0.0,0.0,0.0,0.0,-1.38,-27.12,-490.48,TSE,26,佳能,光電業,2875463120.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-3, -1]","(-904.381, -14.577]","(-92.161, 0.0]","(-6.471, 0.0]","(340.0, 46608.0]","(0.707, 35.48]"
2375,2023-10-16,68.0,68.0,67.0,67.0,210.0,66.16,66.22,66.71,64.36,370.0,258.0,304.0,362.0,0.3,0.45,2023-09-28,2023-06-30,2023-10-06,430274.0,479349.0,-10.24,4.51,1.0,3634879.0,4591710.0,-20.84,2,2023-08-13,1.66,0.83,1.42,12.82,2.63,1.16,1.91,2.05,2.53,6.39,-24.69,2063.99,7.41,17.65,1423.89,30.48,18.96,-10.77,14.33,4.16,7324695,-20.26,12.53,51.03,-9.92,0.07,12.58,16.73,-23.59,-23.59,16.73,643811,1260489,8810261,255898,-7,0,5,-2,-1,0,1,-1,7.36,8000,2808,27,0.96,-59.09,0.32,0.0,0.0,0.0,0.0,0.0,0,-1153,-209,0.0,0.0,0.0,0.0,0.0,0.0,29.11,88.56,TSE,28,凱美,電子零組件,1086753340.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-1, 1]","(3.893, 60.83]","(-92.161, 0.0]","(0.0, 0.923]","(-3666.001, -43.333]","(0.707, 35.48]"
2390,2023-10-16,13.85,15.1,13.7,14.7,6454.0,14.25,13.89,13.52,12.9575,2955.0,2119.0,1327.0,1312.0,1.0,7.3,2023-09-28,2023-06-30,2023-10-06,52667.0,50288.0,4.73,13.66,1.0,474657.0,418245.0,13.49,2,2023-08-11,0.08,0.98,4.01,0.0,2.77,0.53,0.13,0.58,-0.15,0.0,100.03,-99.42,0.0,-2.34,117.31,16.04,10.14,107.75,8.85,105.93,2532940,17.94,9.55,86.27,-26.78,0.06,10.13,25.02,47.62,47.62,25.02,2417,167604,2583122,21142,-1051,0,4,-1047,-1,0,3,-1,29.14,56136,5616,70,1.25,55.56,5.33,0.0,0.0,0.0,0.0,0.0,0,-955,39,0.0,0.0,0.0,0.0,0.0,0.0,14.53,-125.81,TSE,31,云辰,其他電子業,1926194420.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(7, 9]","(3.893, 60.83]","(0.0, 1080.0]","(0.923, 18.74]","(-3666.001, -43.333]","(0.707, 35.48]"
2392,2023-10-16,41.35,41.4,40.6,40.75,1270.0,41.16,41.1,41.5575,42.1317,1410.0,1432.0,2318.0,2953.0,-5.1,-11.12,2023-09-28,2023-06-30,2023-10-06,9434240.0,10810229.0,-12.73,23.45,1.0,61094101.0,66200652.0,-7.71,2,2023-08-11,1.6,0.95,0.24,7.82,2.3,1.02,1.83,2.3,2.32,0.76,-83.93,-28.3,2.56,4.62,232.05,11.72,5.72,2.16,4.6,33.86,21568925,-21.47,-7.76,38.3,-5.83,0.19,4.95,12.7,-23.81,-23.81,12.7,2567829,17185153,34031811,383662,-249,0,-46,-295,-2,0,-4,-8,20.43,104662,4157,14,0.34,-17.65,1.02,0.0,0.0,0.0,0.0,0.0,916,1160,-1,0.0,0.0,0.0,0.0,0.0,-0.88,-38.71,6.67,TSE,28,正崴,電子零組件,5123269400.0,大,TSE,16712.93,16712.93,16614.1,16652.24,5507462,16690.66,16554.56,16542.16,16687.27,5758037,5642487,5729018,6262774,978.34,-6.24,"(-13, -11]","(-904.381, -14.577]","(-92.161, 0.0]","(0.923, 18.74]","(340.0, 46608.0]","(-0.001, 0.707]"
